name,cloneOf,description
puckman,,PuckMan (Japan set 1)
puckmana,1,PuckMan (Japan set 2)
puckmanf,1,PuckMan (Japan set 1 with speedup hack)
puckmanh,1,Puckman (Falcom?)
pacman,1,Pac-Man (Midway)
pacmanf,1,"Pac-Man (Midway, with speedup hack)"
puckmod,1,PuckMan (Japan set 3)
pacmod,1,"Pac-Man (Midway, harder)"
newpuc2,1,Newpuc2 (set 1)
newpuc2b,1,Newpuc2 (set 2)
newpuckx,1,New Puck-X
pacheart,1,Pac-Man (Hearts)
hangly,1,Hangly-Man (set 1)
hangly2,1,Hangly-Man (set 2)
hangly3,1,Hangly-Man (set 3)
popeyeman,1,Popeye-Man
piranhah,1,Piranha (hack)
abscam,1,Abscam
crush,,Crush Roller (Kural Samno)
crushbl,19,Crush Roller (bootleg)
crushbl2,19,Crush Roller (bootleg?)
crush2,19,Crush Roller (Kural Esco - bootleg?)
crush3,19,Crush Roller (Kural - bootleg?)
crush4,19,Crush Roller (Kural TWT)
maketrax,19,Make Trax (set 1)
maketrxb,19,Make Trax (set 2)
korosuke,19,Korosuke Roller
mbrush,19,Magic Brush
paintrlr,19,Paint Roller
crushs,19,Crush Roller (Sidam bootleg)
pacplus,,Pac-Man Plus
joyman,1,Joyman
ctrpllrp,1,Caterpillar Pacman Hack
eyes,,Eyes (Digitrex Techstar)
eyes2,34,Eyes (Techstar)
eyeszac,34,Eyes (Zaccaria)
mrtnt,,Mr. TNT
gorkans,37,Gorkans
eggor,,Eggor
jumpshot,,Jump Shot
jumpshotp,40,Jump Shot Engineering Sample
shootbul,,Shoot the Bull
piranha,1,Piranha
piranhao,1,Piranha (older)
nmouse,,Naughty Mouse (set 1)
nmouseb,45,Naughty Mouse (set 2)
mspacman,,Ms. Pac-Man
mspacmnf,47,Ms. Pac-Man (with speedup hack)
mspacmat,47,Ms. Pac Attack
woodpeck,,Woodpecker (set 1)
woodpeca,50,Woodpecker (set 2)
mspacmab,47,Ms. Pac-Man (bootleg)
mspacmbe,47,"Ms. Pac-Man (bootleg, (encrypted))"
pacgal,47,Pac-Gal
mspacpls,47,Ms. Pac-Man Plus
ponpoko,,Ponpoko
ponpokov,56,Ponpoko (Venture Line)
lizwiz,,Lizard Wizard
alibaba,,Ali Baba and 40 Thieves
dremshpr,,Dream Shopper
vanvan,,Van-Van Car
vanvank,61,Van-Van Car (Karateco set 1)
vanvanb,61,Van-Van Car (Karateco set 2)
bwcasino,,Boardwalk Casino
acitya,64,Atlantic City Action
theglobp,89,The Glob (Pac-Man hardware)
sprglobp,89,Super Glob (Pac-Man hardware)
sprglbpg,89,Super Glob (Pac-Man hardware) German
beastf,89,Beastie Feastie
rocktrv2,,MTV Rock-N-Roll Trivia (Part 2)
bigbucks,,Big Bucks
mschamp,47,Ms. Pacman Champion Edition / Zola-Puc Gal
mschamps,47,Ms. Pacman Champion Edition / Super Zola-Puc Gal
cannonbp,,Cannon Ball (Pacman Hardware)
drivfrcp,,Driving Force (Pac-Man conversion)
8bpm,963,Eight Ball Action (Pac-Man conversion)
porky,,Porky
pengo,,Pengo (set 1 rev c)
pengo2,78,Pengo (set 2)
pengo2u,78,Pengo (set 2 not encrypted)
pengo3u,78,Pengo (set 3 not encrypted)
pengo4,78,Pengo (set 4)
pengob,78,Pengo (bootleg)
penta,78,Penta
jrpacmbl,86,Jr. Pac-Man (Pengo hardware)
jrpacman,,Jr. Pac-Man
megadon,,Megadon
catapult,,Catapult
suprglob,,Super Glob
theglob,89,The Glob
theglob2,89,The Glob (earlier)
theglob3,89,The Glob (set 3)
igmo,,IGMO
dealer,,The Dealer
revenger,,Revenger
galaxian,,Galaxian (Namco set 1)
galaxiana,96,Galaxian (Namco set 2)
galaxianm,96,Galaxian (Midway set 1)
galaxianmo,96,Galaxian (Midway set 2)
galaxiant,96,Galaxian (Taito)
superg,96,Super Galaxians (galaxiana hack)
galapx,96,Galaxian Part X (moonaln hack)
moonaln,96,Moon Alien
galap1,96,Space Invaders Galactica (galaxiana hack)
galap4,96,Galaxian Part 4 (hack)
galturbo,96,Galaxian Turbo (superg hack)
swarm,96,Swarm (bootleg?)
zerotime,96,Zero Time
starfght,96,Star Fighter
galaxbsf,96,Galaxian (bootleg)
kamakazi3,96,Kamakazi III (superg hack)
tst_galx,96,Galaxian Test ROM
gmgalax,,Ghostmuncher Galaxian (bootleg)
pisces,,Pisces
piscesb,114,Pisces (bootleg)
omni,114,Omni
uniwars,,UniWar S
gteikoku,117,Gingateikoku No Gyakushu
gteikokb,117,Gingateikoku No Gyakushu (bootleg set 1)
gteikob2,117,Gingateikoku No Gyakushu (bootleg set 2)
spacbatt,117,Space Battle (bootleg set 1)
spacbat2,117,Space Battle (bootleg set 2)
spacempr,117,Space Empire (bootleg)
skyraidr,117,Sky Raiders
batman2,527,Batman Part 2
warofbug,,War of the Bugs or Monsterous Manouvers in a Mushroom Maze
warofbugg,126,War of the Bugs or Monsterous Manouvers in a Mushroom Maze (German)
redufo,,Defend the Terra Attack on the Red UFO
redufob,128,Defend the Terra Attack on the Red UFO (bootleg)
exodus,128,Exodus (bootleg?)
streakng,,Streaking
pacmanbl,1,"Pac-Man (Galaxian hardware, set 1)"
pacmanbla,1,"Pac-Man (Galaxian hardware, set 2)"
phoenxp2,527,Phoenix Part 2
atlantisb,213,Battle of Atlantis (bootleg)
