name,cloneOf,description
005,,005
10yard,,"10-Yard Fight (World, set 1)"
10yard85,2,"10-Yard Fight '85 (US, Taito license)"
10yardj,2,10-Yard Fight (Japan)
11beat,562,Eleven Beat
18w,,18 Wheeler (set 1)
18w2,6,18 Wheeler (set 2)
18wheelr,17808,18 Wheeler (deluxe) (Rev A)
18wheels,0,18 Wheeler (standard)
18wheelu,0,18 Wheeler (upright)
1941,,1941: Counter Attack (World 900227)
1941j,11,1941: Counter Attack (Japan)
1941r1,11,1941: Counter Attack (World)
1941u,11,1941: Counter Attack (USA 900227)
1942,,1942 (Revision B)
1942a,15,1942 (Revision A)
1942abl,15,"1942 (Revision A, bootleg)"
1942b,15,1942 (First Version)
1942h,15,42
1942p,15,1942 (prototype)
1942w,15,1942 (Williams Electronics license)
1943,,1943: The Battle of Midway (Euro)
1943b,22,"1943: Battle of Midway (bootleg, hack of Japan set)"
1943j,22,"1943: Midway Kaisen (Japan, Rev B)"
1943ja,22,1943: Midway Kaisen (Japan)
1943kai,,1943 Kai: Midway Kaisen (Japan)
1943u,22,"1943: The Battle of Midway (US, Rev C)"
1944,,1944: The Loop Master (USA 000620)
1944d,28,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j,28,1944: The Loop Master (Japan 000620)
1945kiii,,1945k III
19in1,63,19 in 1 MAME bootleg
19xx,,19XX: The War Against Destiny (USA 951207)
19xxa,33,19XX: The War Against Destiny (Asia 960104)
19xxar1,33,19XX: The War Against Destiny (Asia 951207)
19xxb,33,19XX: The War Against Destiny (Brazil 951218)
19xxd,33,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh,33,19XX: The War Against Destiny (Hispanic 951218)
19xxj,33,"19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxjr1,33,19XX: The War Against Destiny (Japan 951225)
19xxjr2,33,19XX: The War Against Destiny (Japan 951207)
1on1gov,28629,1 on 1 Government (Japan)
2020bb,17898,2020 Super Baseball (set 1)
2020bba,0,2020 Super Baseball (set 2)
2020bbh,0,2020 Super Baseball (set 3)
20pacgal,,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
